,site,quadrat,species,trackID,year_t,type,basalArea_genet,recruit_t,survives_tplus1,age,size_tplus1,nearEdge,Suspect,area_t,area_tplus1,flwr,flwr.pred,glum.pred,flwr.sim,glum.sim,seed.sim
29937,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_3,2016,Cover,0.007526897,0,1,11,0.008058642,FALSE,FALSE,75.268966,80.58642171,NA,0.641094637,289.4024914,0,0,0
29938,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_3,2017,Cover,0.008058642,0,1,12,0.010543331,FALSE,FALSE,80.58642171,105.4333099,NA,0.647731606,299.2593027,0,0,0
29939,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_3,2018,Cover,0.010543331,0,1,13,0.026045123,FALSE,FALSE,105.4333099,260.4512306,NA,0.673293053,341.4387933,0,0,0
29940,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_3,2019,Cover,0.026045123,0,1,14,0.016015923,FALSE,FALSE,260.4512306,160.1592339,NA,0.751539705,532.1204468,1,539,3234
29941,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_3,2020,Cover,0.016015923,0,NA,15,NA,FALSE,FALSE,160.1592339,NA,NA,0.711056141,419.179372,1,424,2544
29942,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_4,2004,Cover,3.12E-06,1,0,0,NA,FALSE,FALSE,0.031174017,NA,NA,0.061515715,6.335241331,0,0,0
29943,Big Fill,16 / 30716,Festuca arizonica,FESARI_2006_1,2006,Cover,3.12E-06,1,0,0,NA,FALSE,FALSE,0.031235508,NA,NA,0.061564004,6.341369404,0,0,0
29944,Big Fill,16 / 30716,Festuca arizonica,FESARI_2009_1,2009,Cover,0.000626524,1,0,0,NA,FALSE,FALSE,6.265243503,NA,NA,0.383492476,85.46179512,1,60,360
29945,Big Fill,16 / 30716,Festuca arizonica,FESARI_2009_2,2009,Cover,3.12E-06,1,0,0,NA,FALSE,FALSE,0.031203975,NA,NA,0.061539249,6.338227648,0,0,0
29946,Big Fill,16 / 30716,Festuca arizonica,FESARI_2012_1,2012,Cover,0.00094783,1,1,0,0.0013905,TRUE,FALSE,9.478301355,13.90499934,NA,0.425780129,104.7092235,0,0,0
29947,Big Fill,16 / 30716,Festuca arizonica,FESARI_2012_1,2013,Cover,0.0013905,0,0,1,NA,FALSE,FALSE,13.90499934,NA,NA,0.465934521,126.3708279,1,106,636
29948,Big Fill,18 / 30718,Festuca arizonica,FESARI_2004_1,2004,Cover,0.003613562,1,1,0,0.002136955,TRUE,FALSE,36.13561816,21.36955152,NA,0.56678861,201.9043876,1,210,1260
29949,Big Fill,18 / 30718,Festuca arizonica,FESARI_2004_1,2005,Cover,0.002136955,0,1,1,0.007459915,TRUE,FALSE,21.36955152,74.59914593,NA,0.511463688,156.031302,1,133,798
29950,Big Fill,18 / 30718,Festuca arizonica,FESARI_2004_1,2006,Cover,0.007459915,0,1,2,0.012673844,TRUE,FALSE,74.59914593,126.7384382,NA,0.640221456,288.1360282,1,333,1998
29951,Big Fill,18 / 30718,Festuca arizonica,FESARI_2004_1,2007,Cover,0.012673844,0,1,3,0.01673288,TRUE,FALSE,126.7384382,167.3287959,NA,0.690233453,373.7057237,0,0,0
29952,Big Fill,18 / 30718,Festuca arizonica,FESARI_2004_1,2009,Cover,0.01673288,0,1,4,0.009776002,TRUE,FALSE,167.3287959,97.7600177,NA,0.714858824,428.283346,0,0,0
29953,Big Fill,18 / 30718,Festuca arizonica,FESARI_2004_1,2010,Cover,0.009776002,0,1,5,0.014636821,TRUE,FALSE,97.7600177,146.3682076,NA,0.666201485,329.0120705,0,0,0
